Titulo,Precio,Rating,Ubicacion,Ventas 60 dias
"Laptop HP 240 G7 gris 14"", Intel Celeron N4020  8GB de RAM 1TB HDD, Intel UHD Graphics 600 1366x768px Windows 10 Home",1.180.000,0,"Chapinero, Bogotá D.C..",+100
"Laptop Asus M515DA gris 15.6"", AMD Ryzen 5 3500U  16GB de RAM 1TB HDD 256GB SSD, AMD Radeon RX Vega 8 (Ryzen 2000/3000) 1920x1080px Windows 10",2.550.000,0,"Chapinero, Bogotá D.C..",+100
"Laptop gamer Asus TUF Gaming FX506LH negra 15.6"", Intel Core i5 10300H  8GB de RAM 512GB SSD, NVIDIA GeForce GTX 1650 144 Hz 1920x1080px Windows 10",3.569.000,5.0,"Bucaramanga, Santander.",+1000
"Laptop Dell Inspiron 3505 gris 15.6"", AMD Ryzen 5 3450U  16GB de RAM 1TB HDD 256GB SSD, AMD Radeon RX Vega 8 (Ryzen 2000/3000) 60 Hz 1366x768px Windows 10 Home",2.036.000,4.6,"Chapinero, Bogotá D.C..",+50
"Laptop Asus Vivobook Pro 15 OLED quiet blue 15.6"", AMD Ryzen 5 5600H  8GB de RAM 512GB SSD, AMD Radeon RX Vega 7 60 Hz 1920x1080px",2.489.999,4.8,"Chapinero, Bogotá D.C..",+100
"Apple Macbook Air (13 pulgadas, 2020, Chip M1, 256 GB de SSD, 8 GB de RAM) - Oro",4.850.000,0,"Antonio Nariño, Bogotá D.C..",+100
"Laptop gamer Acer Aspire Nitro 5 AN515-55 negra 15.6"", Intel Core i5 10300H  8GB de RAM 512GB SSD, NVIDIA GeForce GTX 1650 144 Hz 1920x1080px Windows 10 Home",3.599.000,0,"Chapinero, Bogotá D.C..",+1000
Laptop Asus Tuf Onceava I5 11300h Ram 16gb Ssd 512gb Rtx3050,6.114.143,5.0,"Suba, Bogotá D.C..",+1000
Laptop Asus X415ja-bv2198 Intel Core I3 1005g1 4gb 256gb Ssd,1.367.000,4.5,"Chapinero, Bogotá D.C..",+1000
"Laptop Dell Vostro 3405 negra 14"", AMD Ryzen 5 3450U  8GB de RAM 256GB SSD, AMD Radeon RX Vega 8 60 Hz 1366x768px Linux Ubuntu",1.630.000,4.7,"Cali, Valle Del Cauca.",+1000
"Laptop Dell Inspiron 3501 plata 15.55"", Intel Core i3 1115G4  8GB de RAM 256GB SSD, Intel UHD Graphics Xe G4 48EUs 60 Hz 1366x768px Windows 10 Home",2.199.857,0,"Suba, Bogotá D.C..",+1000
"Laptop HP 14-cf2062la gris pizarra 14"", Intel Core i3 10110U  4GB de RAM 256GB SSD, Intel UHD Graphics 620 1366x768px Windows 10 Home",1.650.000,4.8,"Chapinero, Bogotá D.C..",+500
"Apple Macbook Air (13 pulgadas, 2020, Chip M1, 256 GB de SSD, 8 GB de RAM) - Gris espacial",4.799.900,4.9,"Suba, Bogotá D.C..",+100
"Laptop HP 240 G8 plateado ceniza oscuro 14"", Intel Celeron N4020  4GB de RAM 500GB HDD, Intel UHD Graphics 600 1366x768px Windows 10 Home",1.150.000,0,"Chapinero, Bogotá D.C..",+500
"Laptop Asus VivoBook E410MA azul eléctrica 14"", Intel Celeron N4020  4GB de RAM 128GB SSD, Intel UHD Graphics 600 60 Hz 1366x768px Windows 10 Home",1.200.000,4.7,"Chapinero, Bogotá D.C..",+50
