Link,Titulo,Precio,Ubicacion,Ventas 60 dias,Reviews,Rating,Comentarios
https://www.mercadolibre.com.co/laptop-hp-240-g7-gris-14-intel-celeron-n4020-8gb-de-ram-1tb-hdd-intel-uhd-graphics-600-1366x768px-windows-10-home/p/MCO18941400?pdp_filters=category:MCO1652#searchVariation=MCO18941400&position=1&search_layout=stack&type=product&tracking_id=cf05338e-e0b7-4e9b-a0e7-132e1491473f,"Laptop HP 240 G7 gris 14"", Intel Celeron N4020  8GB de RAM 1TB HDD, Intel UHD Graphics 600 1366x768px Windows 10 Home",1.150.000,"Chapinero, Bogotá D.C..",+50,,,[]
https://www.mercadolibre.com.co/laptop-asus-m515da-gris-156-amd-ryzen-5-3500u-16gb-de-ram-1tb-hdd-256gb-ssd-amd-radeon-rx-vega-8-ryzen-20003000-1920x1080px-windows-10/p/MCO19537081?pdp_filters=category:MCO1652#searchVariation=MCO19537081&position=2&search_layout=stack&type=product&tracking_id=cf05338e-e0b7-4e9b-a0e7-132e1491473f,"Laptop Asus M515DA gris 15.6"", AMD Ryzen 5 3500U  16GB de RAM 1TB HDD 256GB SSD, AMD Radeon RX Vega 8 (Ryzen 2000/3000) 1920x1080px Windows 10",2.425.637,"Chapinero, Bogotá D.C..",+100,,,[]
https://www.mercadolibre.com.co/laptop-dell-inspiron-3501-plata-1555-intel-core-i3-1115g4-8gb-de-ram-256gb-ssd-intel-uhd-graphics-xe-g4-48eus-60-hz-1366x768px-windows-10-home/p/MCO17396382?pdp_filters=category:MCO1652#searchVariation=MCO17396382&position=3&search_layout=stack&type=product&tracking_id=cf05338e-e0b7-4e9b-a0e7-132e1491473f,"Laptop Dell Inspiron 3501 plata 15.55"", Intel Core i3 1115G4  8GB de RAM 256GB SSD, Intel UHD Graphics Xe G4 48EUs 60 Hz 1366x768px Windows 10 Home",1.534.900,"Suba, Bogotá D.C..",+500,,,[]
https://www.mercadolibre.com.co/macbook-air-m2-2022-midnight-136-apple-m2-8gb-de-ram-256gb-ssd-apple-m2-10-core-gpu-2560x1664px-macos/p/MCO19563442?pdp_filters=category:MCO1652#searchVariation=MCO19563442&position=4&search_layout=stack&type=product&tracking_id=cf05338e-e0b7-4e9b-a0e7-132e1491473f,"MacBook Air M2 2022 midnight 13.6"", Apple M2  8GB de RAM 256GB SSD, Apple M2 10-Core GPU 2560x1664px macOS",6.299.000,"Antonio Nariño, Bogotá D.C..",+100,,,[]
https://www.mercadolibre.com.co/apple-macbook-air-13-pulgadas-2020-chip-m1-256-gb-de-ssd-8-gb-de-ram-gris-espacial/p/MCO17828518?pdp_filters=category:MCO1652#searchVariation=MCO17828518&position=5&search_layout=stack&type=product&tracking_id=cf05338e-e0b7-4e9b-a0e7-132e1491473f,"Apple Macbook Air (13 pulgadas, 2020, Chip M1, 256 GB de SSD, 8 GB de RAM) - Gris espacial",4.725.000,"Antonio Nariño, Bogotá D.C..",+100,86 calificaciones,4.9,"['El computador es una maravilla en todo sentido. La mejor calidad con un hardware increíble y lo mejor es que el precio es mucho más económico que en las tiendas apple.', 'Vino de fabrica con un pixel muerto y con problemas de teclado y trackpad. En soporte apple cambiaron pantalla pero no se soluciono el problema del teclado y trackpad. Nadie responde.', 'Viene con el empaque original, es una belleza xd. Super recomendado!!!.', 'Excelente, no estaba confiada de comprar este tipo de productos en una página que no fuera mac o apple, pero realmente vale la pena, 100% recomendado.', 'Sensacional como todos los productos de apple, acorde a las especificaciones, nuevo y sellado de fabrica, la velocidad, la calidad del producto lo maximo, super recomendado como equipo de trabajo, para la universidad y para el entretenimiento multimedia que desees. Excelente. Muchas gracias.']"
https://www.mercadolibre.com.co/laptop-dell-vostro-3405-negra-14-amd-ryzen-5-3450u-8gb-de-ram-256gb-ssd-amd-radeon-rx-vega-8-60-hz-1366x768px-linux-ubuntu/p/MCO18619212?pdp_filters=category:MCO1652#searchVariation=MCO18619212&position=6&search_layout=stack&type=product&tracking_id=cf05338e-e0b7-4e9b-a0e7-132e1491473f,"Laptop Dell Vostro 3405 negra 14"", AMD Ryzen 5 3450U  8GB de RAM 256GB SSD, AMD Radeon RX Vega 8 60 Hz 1366x768px Linux Ubuntu",2.000.000,"Chapinero, Bogotá D.C..",+1000,77 calificaciones,4.7,"['Ya llevo 2 meses con el pc aproximadamente, y me ha parecido muy muy bueno, lo compré para trabajo principalmente, soy programador y la verdad que con sistemas operativos linux va muy bien, la ram es suficiente para el 95% de las tareas que hago a diario.\nTiene cierta tendencia a calentarse (cuando se le ponen tareas exigentes) hacia la parte de adelante de la pantalla (que es por donde están los ventiladores disipadores de calor) pero ese calor nunca llega a ser incómodo, la pantalla es muy buena y casi no tiene reflejo, el teclado es cómodo y no me ha costado mucho adaptarme a este.\nEl audio es decente, me ha parecido un poco mejor de lo esperado. Por otra parte considero que la laptop es de muy bajo peso, esto no es algo que en especial me importe pero cabe mencionar que muchas veces voy con la laptop en el bolso y olvido que la tengo ahí, precisamente por su poco peso.\nEl disco ssd de 256 gb está perfecto porque permite iniciar el sistema operativo mucho más rápido y además permite un rápido movimiento de archivos. En cuanto a la gpu no le he sacado el jugo, pero creo que puede estar bastante buena para el gaming también. Dado el performance de la laptop también la recomendaría para gaming hasta la gama media.', 'Incluye el cargador, el computador y curiosamente una licencia de macccafe que no está de mas, súper rápido el computador (me encendió en menos de 10 segundos) viene con win 10 activado y office también activado además de que el teclado es muy cómodo y el sonido de muy buen volumen y calidad hasta ahorita todo bien. Edito 2 meses después para decir que es una excelente compra y no lo cambiaría al menos que fuese por un computador de gráficos dedicados ¡lo mejor por el precio!.', 'Muy buenas prestaciones para su precio, el unico detalle es la pantalla, es hd no full hd, pero esta muy claro en la descripción, puesto que lo uso con monitor externo para mi no es problema. Corre muy bien, vino con windows 10 y office instalado, no he tenido ningun problema de calentamiento y en cuanto a juegos he probado tomb raider y divinity original sin ii y ambos van muy bien en altas. No es la ulyima maravilla, pero por el precio es una ganga.', 'Gran equipo, tal cual lo describen, salió con ubuntu, pero no tuve problema al momento de instalar windows. Si se calienta un poco cuando se forza, por ejemplo jugando fornite o valorant, pero no supera los 75°. En tareas rutinarias va muy bien. Trae el espacio para adicionar un disco mecánico, lo incorpore sin problema. Después de 5 días de arduas pruebas, el pc funciona muy bien.', 'Excelente equipo, la calidad de construccion es plasticosa pero de buena calidad, en cuanto a hardware esta muy bien montado, permite correr algunos programas de edicion y juegos no tan pesados.']"
https://www.mercadolibre.com.co/laptop-lenovo-ideapad-14ada05-platinum-gray-14-amd-athlon-silver-3050u-4gb-de-ram-256gb-ssd-amd-radeon-rx-vega-2-1366x768px-freedos/p/MCO19693411?pdp_filters=category:MCO1652#searchVariation=MCO19693411&position=7&search_layout=stack&type=product&tracking_id=cf05338e-e0b7-4e9b-a0e7-132e1491473f,"Laptop Lenovo IdeaPad 14ADA05  platinum gray 14"", AMD Athlon Silver 3050U  4GB de RAM 256GB SSD, AMD Radeon RX Vega 2 1366x768px FreeDOS",1.438.000,"Chapinero, Bogotá D.C..",+1000,,,[]
https://www.mercadolibre.com.co/apple-macbook-air-13-pulgadas-2020-chip-m1-256-gb-de-ssd-8-gb-de-ram-oro/p/MCO17828522?pdp_filters=category:MCO1652#searchVariation=MCO17828522&position=8&search_layout=stack&type=product&tracking_id=cf05338e-e0b7-4e9b-a0e7-132e1491473f,"Apple Macbook Air (13 pulgadas, 2020, Chip M1, 256 GB de SSD, 8 GB de RAM) - Oro",4.703.056,"Suba, Bogotá D.C..",+100,86 calificaciones,4.9,"['El computador es una maravilla en todo sentido. La mejor calidad con un hardware increíble y lo mejor es que el precio es mucho más económico que en las tiendas apple.', 'Vino de fabrica con un pixel muerto y con problemas de teclado y trackpad. En soporte apple cambiaron pantalla pero no se soluciono el problema del teclado y trackpad. Nadie responde.', 'Viene con el empaque original, es una belleza xd. Super recomendado!!!.', 'Excelente, no estaba confiada de comprar este tipo de productos en una página que no fuera mac o apple, pero realmente vale la pena, 100% recomendado.', 'Sensacional como todos los productos de apple, acorde a las especificaciones, nuevo y sellado de fabrica, la velocidad, la calidad del producto lo maximo, super recomendado como equipo de trabajo, para la universidad y para el entretenimiento multimedia que desees. Excelente. Muchas gracias.']"
https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=nh%2FYisosWT%2FqdhJaTK9si7PqKhmyvVmi0NyYICVgOQL60QJqYlXIHOOyKRsT%2F1MbKWKa2yIoJ7Z6dAdYyNPGAkVvb5ytlrdyp21QaOvSRktIiFEyIq9CQSozq3xKMrFz94DmSnQhZ4Smt8u3F9EN3FQI2U2L1%2FkzKDg5SPNaLnCNMWR9VX77jmnNb5Tmul2ijmrhSoyVBVy6PVjwbm0qgGiMprJWDcxp%2BJCkjl5W3JotAfav8N4amcekvvMHjhD8OZUwXG4WfJlHYjAIflVK0DA2uknfBjqKachJI6v8rq0limaqbtr%2BsMDGOcJ3BnYNk0mf2dXo7bCbJDQ8%2F7L1UvgiFHlLsWD%2FMDDvqb56UQyHXSNFh4C01ovQK79cHo%2BQFmflzdpyin9H58wewWOxYWL7qZwIQrjMOtMGnJGWCM6IAvz9h%2FCWYvvD5w1NOtWt%2B6BTXNXjMP%2B3IaTbtXdDeFhoWHwbs6SW9eovj9c4KGinqxtmz06ujOZ9Y7G0NQxcBPlqVTp6C5K58jucuFPeBC%2BYYjiE%2BpCs1coCgzI9TvZIItsdyOx7rrBg9SpGm5BZjmbxIWNBpkNpzQvi5lc0sdRNiKHWUkDFTC0w6eeiycj1Wuk5RVpfbiQ%2FIoaxGJRSpQuADPASuTy3D2VsrXgr%2FNN70zs5G1ianeM25JrC1rDHAN0TBzG4rp86kLhWc3UEUwdZHpYITbpLMfMN%2F1PuumU%3D&rb=x,Portatil Asus X415ea Intel Pentium 8gb 256gb Ssd 14  Win 11 ,2.000.000,"Chapinero, Bogotá D.C..",+1000,,,[]
https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=VIhhSOPUH7joKD%2B54W2X7t%2F4lu3D6ccIHhVhm7xlrR4n1ml7P%2Ba0qvX31qfb8OQgkA108nhqpD2CSiJOFaPzYrVylgz9i6tJcY94HNiY4PtWmYJI%2F0MoZm49%2FQ24n3n%2FB4foA6Bs0HO5ADIMY9kvkZ1Rq0AM30PWNAUPuNhTtuVkGHxKvPY67tZGMxLnZysgpUTLat6SsgYc6aDahIiBqJ2BoyOQDIkfY9eQvyAyx23V%2FETJBqKPa062%2BEXLf5K%2FWWGpRgjd8ptUJzBoK8pcubpr9OMPnFKf5dyNRQ6HjuLFExAY8vvBCIA4dlEGGtMKKfSYV8qNIAO%2B6CY93H33kup6e3u4FsyNTp4k%2BKjJiqxums0%2BcZFrySIfZZBJ2cs4ADaiXNTi2V7fV%2FVGY0XjRsMj5nxoT%2FDJtibnzVkOzscupFLz2qrOw7fG3%2B8vkX%2BHvLS63b2KD40lODmn8LTqxs3J2PDgCqz8wSQL7k2bE4WOsMdPhwZkLCpHZW%2FqjkLPTOlN0gCjSICJnDw0d9XAQM0YK3pphqCI6wTlho0oatkWzHl7dnd4QecQRZozU%2F%2Bt4O2h%2FdwuwaKnj0pzuyR23rbpfkr6xuHdFjU1%2F5cEz9eO4TTIPAxKABBoDR4obdhKmszZQi7ey%2FM9ZHM55bONk2CYipUDzMpKe5luSnxG6R7x5nHIyVwcoSvYCoLb5CGjoC2Rzywit2KlgEe4nxadOWJpgg%3D%3D&rb=x,Laptop Hp 240 G8 Intel Celeron N4120 8gb 256gb Ssd Windows10,899.000,"Chapinero, Bogotá D.C..",+1000,,,[]
